company,mean_profit,dominance,profit_variance,worst_profit,profit_per_trade,cost_per_trade,profit_share
Company7,708518.2093378449,-1.3531741111278088,10539289770952.912,-198033.2434239867,21794.463933770396,1635.8071907660274,1.0
Company8,-46669.29561431941,0.10497353315189387,57569155.898835406,-50432.120350402656,-24445.82151226255,25668.109630250412,1.0
Company15,-47235.99546480805,0.102203896457906,19432956.984648433,-73108.04291557726,-4091.3066938022725,4937.672778253926,1.0
Company18,-47392.22510621498,0.10682599877135934,39570301.61230797,-51536.4432859041,-5385.480125706247,6192.316975536345,1.0
Company16,-47779.744814278696,0.10494711742544491,35915572.421549864,-85915.55683099896,-48664.554903432,51490.74890951399,1.0
Company11,-48040.838302413635,0.10660031083276698,3882596.2899466692,-50508.81563319532,-1321123.053316375,1322460.8685590192,1.0
Company12,-48117.186137705845,0.10759832625688959,3771737.3120944346,-50432.120350402656,-inf,inf,1.0
Company13,-48121.3493802633,0.11110423839777729,55453097.54366446,-99705.68741890094,-9158.042269600282,10062.398000713154,1.0
Company17,-48472.1815502705,0.10876366061650473,3649370.4423955795,-50432.120350402656,-inf,inf,1.0
Company6,-48952.35309030198,0.1076815082249815,46867979.79726252,-95262.15067057256,-6534.901504773322,7065.470340092941,1.0
Company4,-49104.20283028537,0.10854771733493015,44360150.0936799,-93504.08232088521,-6768.7497635731725,8225.105242001902,1.0
Company2,-49765.00504228367,0.10876210499028019,45624087.978111394,-91240.18887785004,-15376.827400705628,16017.944776952107,1.0
Company9,-49935.44952686689,0.10781329304877542,207341177.79246065,-152880.78966551958,-5616.4616032263375,6044.524369751759,1.0
Company3,-57497.59391394349,0.12147669676532918,729880464.9336303,-216712.53602286588,-3977.8209625998643,4650.071113325404,1.0
Company10,-65905.99649647414,0.1258886556287851,332835849.1203483,-175148.0461734131,-926.829406112523,1236.5021713227882,1.0
Company19,-67450.80864450704,0.146127661977201,80262368.81698315,-84590.15275828914,-977.2904308345328,1339.6778006928562,1.0
Company5,-74827.4473865036,0.14619344261427014,2479827354.1560903,-310162.24669548136,-1444.5453163417683,1925.857213779973,1.0
Company1,-82895.57252436117,0.13676522409097808,21827194394.953316,-835319.6339384479,-3031.4205377924627,3271.019030621529,1.0
Company14,-96886.41119161106,0.1625111434189366,21948082133.88093,-850042.7396785894,-1919.579472456271,2309.727395121637,1.0
Company20,-97792.26645375883,0.22838958112279859,1107610762.7937694,-230660.00063629317,-906.3995037001577,1222.959535242399,1.0
